ColumnName,Type,Required,Section,Notes
Title,Single line of text,No,Identity,Auto - set to CaseID by flow
CaseID,Single line of text,No,Identity,Generated by Flow 3
ProductType,Choice,Yes,Identity,"BTL|Bridging|Commercial|Dev Finance|Refurb|Auction"
CaseStatus,Choice,Yes,Identity,"Active|On Hold|Withdrawn|Declined|Completed|Archived (Default: Active)"
CaseOwner,Person or Group,Yes,Identity,Staff member managing the case
LeadID,Single line of text,No,Identity,Reference to originating lead (Phase 2)
Applicant1FirstName,Single line of text,Yes,Applicant,
Applicant1LastName,Single line of text,Yes,Applicant,
Applicant1Email,Single line of text,Yes,Applicant,
Applicant1Phone,Single line of text,No,Applicant,
Applicant2FirstName,Single line of text,No,Applicant,Optional second applicant
Applicant2LastName,Single line of text,No,Applicant,
Applicant2Email,Single line of text,No,Applicant,
PropertyAddress,Multiple lines of text,Yes,Property,Plain text
PropertyPostcode,Single line of text,Yes,Property,
PropertyType,Choice,No,Property,"Residential|HMO|MUB|Commercial|Semi-Commercial|Land|Other"
EstimatedValue,Currency,No,Property,
PurchasePrice,Currency,No,Property,For purchases
IsPortfolioLandlord,Yes/No,No,Property,Default: No
LoanAmountRequired,Currency,Yes,Loan,
LTV,Number,No,Loan,Percentage
InterestRateType,Choice,No,Loan,"Fixed|Variable|Tracker"
TermMonths,Number,No,Loan,Loan term in months
RepaymentType,Choice,No,Loan,"Interest Only|Capital & Interest"
CurrentStageID,Lookup,No,Stage,"Lookup list: Stage Configuration, column: Title"
CurrentStageNumber,Number,No,Stage,Denormalized - updated by flow
CurrentStageName,Single line of text,No,Stage,Denormalized - updated by flow
StageChangedDate,Date and Time,No,Stage,Date only
StageNotes,Multiple lines of text,No,Stage,Plain text
FactFindItemID,Number,No,Reference,FK to Fact-Find Responses list item ID
EnquiryDate,Date and Time,Yes,Dates,Date only - Default: Today
TargetCompletionDate,Date and Time,No,Dates,Date only
ActualCompletionDate,Date and Time,No,Dates,Date only
MonthlyRent,Currency,No,BTL Specific,BTL only
ICRMultiplier,Number,No,BTL Specific,BTL only e.g. 1.25
CalculatedMaxLoan,Currency,No,BTL Specific,BTL only
EpcRating,Choice,No,BTL Specific,"A|B|C|D|E|F|G"
AuctionDate,Date and Time,No,Bridging/Auction,
CompletionDeadline,Date and Time,No,Bridging/Auction,
ExitStrategy,Choice,No,Bridging/Auction,"Refinance|Sale|Other"
WorksRequired,Yes/No,No,Bridging/Auction,
WorksBudget,Currency,No,Bridging/Auction,
BuildCost,Currency,No,Development/Refurb,
EstimatedGDV,Currency,No,Development/Refurb,
ProfitOnGDV,Number,No,Development/Refurb,Percentage
ProcFeeExpected,Currency,No,Commission,Phase 5
AdvFeeCharged,Currency,No,Commission,Phase 5
TotalCommissionExpected,Currency,No,Commission,Phase 5
CommissionReceived,Yes/No,No,Commission,Phase 5
CommissionReceivedDate,Date and Time,No,Commission,Phase 5
LenderID,Lookup,No,Reference,"Lookup -> Lenders list (Phase 3)"
LenderName,Single line of text,No,Reference,Denormalized
ReferrerID,Lookup,No,Reference,"Lookup -> Referrers list (Phase 2)"
