Title,ShortName,CustomerFriendlyName,StageNumber,ProductType,CanSkip,DefaultSLADays,VisibleToCustomer,SortOrder,IsActive
Customer Enquiry,ENQ,Application Received,1,All,No,1,Yes,1,Yes
Fact-Find,FACT,Information Gathering,2,All,No,5,Yes,2,Yes
Terms of Business & GDPR,TOB,Terms Agreed,3,All,No,2,Yes,3,Yes
Product Research,PROD,Under Review,4,All,No,3,No,4,Yes
Present Options & Agree,OPT,Options Presented,5,"BTL,Commercial,Dev Finance,Refurb",Yes,3,Yes,5,Yes
Produce Illustrations,ILLUS,Illustrations Prepared,6,"BTL,Commercial",Yes,3,Yes,6,Yes
Decision in Principle,DIP,Initial Decision,7,"BTL,Commercial",Yes,5,Yes,7,Yes
Full Application,APP,Application Submitted,8,All,No,7,Yes,8,Yes
Valuation,VAL,Valuation Arranged,9,All,No,10,Yes,9,Yes
Underwriting,UW,Lender Review,10,All,No,14,Yes,10,Yes
Loan Offer,OFFER,Offer Issued,11,All,No,5,Yes,11,Yes
Legals,LEGAL,Legal Work,12,All,No,21,Yes,12,Yes
Completion,COMP,Funds Released,13,All,No,1,Yes,13,Yes
Post-Completion & Logging,POST,Completed,14,All,No,3,Yes,14,Yes
